Incident energy;
Incident energy;
Incident energy;σ(E)
1.0E-5;169.7656
1.0625E-5;164.7597
1.125E-5;160.1786
1.1875E-5;155.9657
1.25E-5;152.0743
1.375E-5;145.107
1.5E-5;139.0343
1.625E-5;133.6805
1.75E-5;128.9145
1.875E-5;124.6365
2.0E-5;120.7689
2.1875E-5;115.606
2.375E-5;111.0721
2.5625E-5;107.0496
2.75E-5;103.4495
2.9375E-5;100.2033
3.125E-5;97.25676
3.3125E-5;94.56681
3.5E-5;92.09849
3.875E-5;87.71713
4.25E-5;83.93665
4.625E-5;80.63215
5.0E-5;77.71225
5.3125E-5;75.52277
5.625E-5;73.52142
5.9375E-5;71.68296
6.25E-5;69.98668
6.875E-5;66.95445
7.5E-5;64.31707
8.125E-5;61.99655
8.75E-5;59.9348
9.375E-5;58.08761
1.0E-4;56.4206
1.0625E-4;54.90664
1.125E-4;53.52393
1.1875E-4;52.25481
1.25E-4;51.08472
1.375E-4;48.99533
1.5E-4;47.1804
1.625E-4;45.58538
1.75E-4;44.16971
1.875E-4;42.90254
2.0E-4;41.75991
2.1875E-4;40.23922
2.375E-4;38.90824
2.5625E-4;37.73098
2.75E-4;36.68028
2.9375E-4;35.7352
3.125E-4;34.87934
3.3125E-4;34.09964
3.5E-4;33.38553
3.875E-4;32.12108
4.25E-4;31.03318
4.625E-4;30.08451
5.0E-4;29.24789
5.3125E-4;28.6215
5.625E-4;28.04958
5.9375E-4;27.52472
6.25E-4;27.04084
6.875E-4;26.17667
7.5E-4;25.42571
8.125E-4;24.76532
8.75E-4;24.17874
9.375E-4;23.65322
0.001;23.1789
0.0010625;22.74801
0.001125;22.35432
0.0011875;21.99279
0.00125;21.65929
0.001375;21.06318
0.0015;20.54464
0.001625;20.08822
0.00175;19.68246
0.001875;19.31867
0.002;18.9901
0.0021875;18.55193
0.002375;18.16754
0.0025625;17.82678
0.00275;17.52202
0.0029375;17.24735
0.003125;16.99812
0.0033125;16.77065
0.0035;16.56194
0.003875;16.19142
0.00425;15.87157
0.004625;15.59183
0.005;15.34452
0.0053125;15.15901
0.005625;14.98937
0.0059375;14.83347
0.00625;14.68955
0.006875;14.43198
0.0075;14.20751
0.008125;14.00959
0.00875;13.83341
0.009375;13.6753
0.01;13.53242
0.010625;13.40249
0.01125;13.28371
0.011875;13.17455
0.0125;13.07376
0.01375;12.89328
0.015;12.73581
0.01625;12.59687
0.0175;12.47316
0.01875;12.36211
0.02;12.26173
0.021325;12.16518
0.02265;12.07728
0.023975;11.99685
0.0253;11.92293
0.02684375;11.84394
0.0283875;11.77159
0.031475;11.64307
0.0345625;11.53187
0.03765;11.4346
0.0407375;11.34867
0.043825;11.27202
